intel_id,threat_actor,campaign_name,target_sector,target_region,matched_cve_or_control,exploit_maturity,active_last_seen,ransomware_association,confidence,summary
TI-3001,CrimsonJackal,Gateway Breaker,Financial Services,Middle East,CVE-2024-21762,Weaponized,2026-04-22,Yes,High,Active exploitation of Fortinet SSL-VPN CVE-2024-21762 observed against financial services and fintech firms in the Gulf region. Initial access leads to internal lateral movement and ransomware staging.
TI-3002,CrimsonJackal,Gateway Breaker,Financial Services,Middle East,CVE-2024-55591,Weaponized,2026-04-22,Yes,High,Same CrimsonJackal campaign also exploiting Fortinet authentication bypass CVE-2024-55591 in parallel with CVE-2024-21762 for redundant access.
TI-3003,ShadowMint,Portal Crush,Retail and SaaS,Middle East,CVE-SYN-2026-0001,Weaponized,2026-04-20,No,High,Campaign targets internet-facing customer portals running vulnerable web frameworks. CVE-SYN-2026-0001 observed in exploitation attempts across UAE-hosted portals.
TI-3004,BlueRaven,API Ghost,Fintech,Global,CVE-SYN-2026-0002,Proof of Concept,2026-04-18,No,Medium,Researchers have observed proof-of-concept exploitation of API authentication bypass vulnerabilities against exposed payment and identity gateways. No confirmed ransomware link.
TI-3005,RedMantis,Collaboration Breach,Technology,Middle East,CVE-SYN-2026-0004,Weaponized,2026-04-23,Yes,High,RedMantis is actively exploiting project management and collaboration platforms to reach engineering credentials and deployment artifacts. Ransomware deployment follows within 48-72 hours of access.
TI-3006,RedMantis,Collaboration Breach,Technology,Middle East,CVE-2023-22527,Weaponized,2026-04-23,Yes,High,Same RedMantis campaign also exploiting Confluence RCE CVE-2023-22527. Victims include engineering-heavy SaaS firms in MENA region.
TI-3007,RedMantis,Collaboration Breach,Technology,Middle East,CVE-2023-22515,Weaponized,2026-04-23,Yes,High,RedMantis also targeting Confluence broken access control CVE-2023-22515 to reach internal spaces containing credentials and architecture diagrams.
TI-3008,SilentForge,Build Chain Theft,Technology,Global,CICD-SYN-001,Weaponized,2026-04-21,No,High,Attackers are targeting CI/CD systems to steal source code and deployment secrets. Exposed build variables and hardcoded credentials are the primary vector.
TI-3009,SilentForge,Build Chain Theft,Technology,Global,CVE-2024-27198,Weaponized,2026-04-21,No,High,SilentForge also exploiting JetBrains TeamCity CVE-2024-27198 authentication bypass to access build pipelines and extract secrets.
TI-3010,SilentForge,Build Chain Theft,Technology,Global,CVE-2024-23897,Weaponized,2026-04-21,No,High,"Jenkins CVE-2024-23897 arbitrary file read actively leveraged by SilentForge to extract secrets.json, credentials.xml and SSH keys from build servers."
TI-3011,NightHarbor,Backup Hunter,Healthcare and Finance,Middle East,CLOUD-SYN-001,Active Exploitation,2026-04-15,Yes,Medium,Adversaries scanning for misconfigured cloud storage and backup systems. Goal is to identify restorable backups that can support extortion and double-extortion ransomware.
TI-3012,AmberFox,HR Data Theft,Enterprise,Global,CVE-2025-0333,Proof of Concept,2026-04-10,No,Medium,Threat group targeting HR portals and employee data. CVE-2025-0333 file upload vulnerability exploited for initial access to extract payroll and PII data.
TI-3013,AmberFox,HR Data Theft,Enterprise,Global,CVE-2024-4577,Proof of Concept,2026-04-10,No,Medium,AmberFox also observed leveraging PHP CGI injection CVE-2024-4577 on HR portal systems running PHP.
TI-3014,BlackCinder,Database Grab,Financial Services,Middle East,CVE-2024-10978,Active Exploitation,2026-04-19,Yes,High,Ransomware affiliates chaining PostgreSQL privilege escalation CVE-2024-10978 with lateral movement to internal databases. Finance and payment databases are primary targets.
TI-3015,GrayLotus,CMS Spray,All Sectors,Global,CVE-SYN-2025-0123,Commodity Exploit,2026-04-12,No,Medium,Automated botnet scanning for outdated CMS installations. Targets are primarily opportunistic — corporate websites and marketing CMSes.
TI-3016,GrayLotus,CMS Spray,All Sectors,Global,CVE-2024-4577,Commodity Exploit,2026-04-12,No,Medium,Same GrayLotus botnet also exploiting PHP CVE-2024-4577 on CMS hosts. High volume but lower sophistication.
TI-3017,IronVeil,CitrixBleed Exploitation,Financial Services,Global,CVE-2023-4966,Active Exploitation,2026-04-20,Yes,High,IronVeil group actively exploiting Citrix NetScaler CitrixBleed CVE-2023-4966 to harvest session tokens from load balancers protecting financial portals. Tokens used to bypass MFA.
TI-3018,IronVeil,CitrixBleed Exploitation,Financial Services,Global,CVE-SYN-2026-0010,Active Exploitation,2026-04-20,Yes,High,IronVeil also targeting payment API IDOR vulnerabilities in tandem with CitrixBleed to escalate access post-session-hijack.
TI-3019,Unknown,Exchange NTLMv2 Relay,Enterprise,Global,CVE-2024-21410,Weaponized,2026-04-17,No,Medium,Multiple threat actors exploiting Microsoft Exchange CVE-2024-21410 to relay NTLMv2 hashes. Internal privilege escalation follows. No ransomware link confirmed.
TI-3020,PhantomGrid,SolarWinds RCE,IT and MSP,Global,CVE-2024-28986,Active Exploitation,2026-04-11,Yes,High,PhantomGrid targeting SolarWinds Web Help Desk via CVE-2024-28986 Java deserialization RCE. MSPs and enterprise IT teams are primary victims — lateral movement to connected endpoints follows.
TI-3021,PhantomGrid,SolarWinds RCE,IT and MSP,Global,CVE-2024-28987,Active Exploitation,2026-04-11,Yes,High,PhantomGrid chaining hardcoded credentials CVE-2024-28987 with RCE CVE-2024-28986 on SolarWinds WHD. Complete system takeover possible without prior credentials.
TI-3022,Unknown,Endpoint Drift,All Sectors,Global,CTRL-SYN-001,Not Applicable,2026-04-17,No,Low,Missing endpoint controls observed on executive and operations workstations. Increases blast radius if user credentials are phished or credentials leaked via NTLM relay.
TI-3023,WinterViper,Kong Gateway Exploit,Fintech and API-First,Global,CVE-SYN-2026-0011,Weaponized,2026-04-24,Yes,High,"WinterViper group targeting exposed API gateway admin interfaces, particularly Kong. Exploitation provides full control over all proxied routes, enabling traffic interception and partner impersonation."
TI-3024,GhostByte,Legacy OS Exploitation,All Sectors,Global,CVE-SYN-2024-0001,Commodity Exploit,2026-04-08,No,Medium,Opportunistic actors targeting Windows Server 2012 R2 end-of-support systems. No vendor patches available — exploitation is persistent and low-effort.
TI-3025,Unknown,Kubernetes Dashboard Exploitation,Technology,Global,K8S-SYN-001,Proof of Concept,2026-04-14,No,Medium,Security researchers and opportunistic attackers scanning for exposed Kubernetes dashboards. Unauthenticated access enables full cluster takeover.
TI-3026,CoralDrift,Spear Phishing — CFO Fraud,Finance,Middle East,PHISH-SYN-001,Social Engineering,2026-04-21,No,High,Spear phishing campaign impersonating bank transfer requests targeting CFO and finance teams in Gulf region. No technical CVE — initial vector is email.
TI-3027,Unknown,Supply Chain Trojanized Package,Software,Global,SUPPLY-SYN-001,Active Exploitation,2026-04-16,Yes,Medium,Malicious npm packages mimicking popular libraries observed. No confirmed packages in TawasolPay SBOM — monitor for dependency confusion attacks.
TI-3028,CeruleanFang,Palo Alto PAN-OS Zero Day,Network,Global,CVE-2024-3400,Weaponized,2026-04-09,Yes,High,CeruleanFang exploiting Palo Alto PAN-OS CVE-2024-3400 command injection. No PAN-OS assets identified in current inventory — monitor if network stack changes.
TI-3029,DustyMirror,MOVEit Transfer SQL Injection,Enterprise,Global,CVE-2023-34362,Active Exploitation,2026-04-05,Yes,High,Ongoing mass exploitation of MOVEit Transfer CVE-2023-34362. No MOVEit assets in current environment. Relevant if third-party file transfer vendors are used.
TI-3030,Unknown,ConnectWise ScreenConnect Auth Bypass,MSP,Global,CVE-2024-1709,Weaponized,2026-04-03,Yes,High,Mass exploitation of ConnectWise ScreenConnect auth bypass. No ScreenConnect in current inventory. Relevant if remote support vendors use this tooling.
TI-3031,IcedThread,Ivanti Connect Secure RCE,Enterprise,Global,CVE-2025-0282,Weaponized,2026-04-18,Yes,High,IcedThread exploiting Ivanti Connect Secure stack overflow. No Ivanti assets in current inventory — Fortinet is the VPN platform in use.
TI-3032,Unknown,Apache Struts RCE,Java Enterprise,Global,CVE-2024-53677,Weaponized,2026-04-13,Yes,High,Weaponized exploitation of Apache Struts file upload RCE. No Struts applications identified in current inventory.
TI-3033,TidalRush,Credential Stuffing — Payment Portals,Fintech,Middle East,CRED-SYN-001,Active Exploitation,2026-04-20,No,High,High-volume credential stuffing observed against payment portal login pages in UAE. Automated tools using breached credential lists. Relevant to Customer Login and Payment Processing.
TI-3034,Unknown,OpenSSL Denial of Service,All Sectors,Global,CVE-2024-5535,Proof of Concept,2026-04-07,No,Low,Proof-of-concept for OpenSSL DoS condition. Low severity — patch is available and exploitation requires specific conditions not observed in wild.
TI-3035,MidnightPetal,Microsoft SharePoint RCE,Enterprise,Global,CVE-2024-38094,Active Exploitation,2026-04-15,Yes,Medium,Active exploitation of SharePoint deserialization RCE. No SharePoint in current environment. Monitor if Microsoft 365 integration changes.
TI-3036,Unknown,Social Engineering via LinkedIn,All Sectors,Global,SOCIAL-SYN-001,Social Engineering,2026-04-19,No,Medium,Threat actors targeting engineering and DevOps professionals on LinkedIn for credential harvesting and internal reconnaissance. No technical CVE.
TI-3037,CoralDrift,SIM Swap — Executive Targeting,Finance,Middle East,SIM-SYN-001,Social Engineering,2026-04-22,No,High,SIM swap attacks targeting C-suite executives of Gulf fintech firms to bypass SMS-based MFA. Coordinate with mobile carriers to add SIM lock protections.
TI-3038,Unknown,Linux Kernel Privilege Escalation,Linux,Global,CVE-2023-0386,Proof of Concept,2026-04-01,No,Low,Privilege escalation in Linux kernel OverlayFS. PoC available but no weaponized exploit observed. Relevant to unpatched Ubuntu 20.04 systems.
TI-3039,Unknown,HTTP/2 Rapid Reset DDoS,Web Infrastructure,Global,CVE-2023-44487,Active Exploitation,2026-04-06,Yes,Medium,Continued low-level HTTP/2 Rapid Reset DDoS activity against internet-facing web servers. Not a compromise vector — affects availability only.
TI-3040,PurpleStrike,Insider Threat — Privileged Access Abuse,Finance,Global,INSIDER-SYN-001,Not Applicable,2026-04-18,No,Low,Indicators of insider threat activity observed at a peer firm — admin credential sharing and excessive data export before employee departure. No technical CVE.
